"Code","Intitulé","ECTS","Responsables","d'ouvertu","Ecrit","CC","TP","Oral","Total"
"2I001","Programmation et structures de données en C","6","Stéphane DONCIEUX","1","60","40","","","100"
"2I002","Eléments de programmation par objets avec Java","6","Christophe MARSALA","3","50","50","","","100"
"2I003","Initiation à l'algorithmique","6","Alix MUNIER-KORDON","1","60","40","","","100"
"2I004","Introduction à l'architecture, représentation des données et programmes","6","Emmanuelle ENCRENAZ","1","60","40","","","100"
"2I005","Structures discrètes","6","Béatrice BERARD / Nathalie SZNADJER","1","60","40","","","100"
"2I006","Algorithmique appliquée et structures de données","6","Pierre FOUILHOUX","2","50","20","30","","100"
"2I007","Programmation des interactions et interfaces homme machine","6","Choun Tong LIEU","2","60","40","","","100"
"2I008","Fonctions et procédures de calcul","6","Pascal MANOURY","2","60","40","","","100"
"2I009","Introduction aux Bases de Données Relationnelles","6","Camelia Constantin","2","60","40","","","100"
"2I010","Initiation aux systèmes d'exploitation","6","Julien SOPENA","2","70","30","","","100"
"2I011","Représentations et Méthodes Numériques","6","Christoph LAUTER","2","60","40","","","100"
"2I012","Environnement de développement sous Linux","6","Valérie MENISSIER-MORAIN","2","60","40","","","100"
"2I013","Projet (applications)","6","Vincent GUIGUE","2","30","70","","","100"
"2I014","Machine et représentation","3","Quentin MEUNIER","2","70","30","","","100"
"2I015","Introduction aux systèmes d'exploiitation","3","Swan DUBOIS","2","60","40","","","100"
"2I016","Calculabilité, décidabilité","3","Nathalie SZNAJDER","2","60","40","","","100"
"2I017","Modèles linéaires et applications","3","Patrice PERNY","2","60","40","","","100"
"2I999","Initiation à l'algorithmique et à la programmation en C","6","François PECHEUX","1","","","","","100"
"2I0I1","Orientation et insertion professionnelle","3","Cédric Herpson","1","","100","","","100"
"3I001","Programmation concurrente","6","Fabrice KORDON","1","70","30","","","100"
"3I002","Programmation par objets","6","Antoine Miné","2","50","50","","","100"
"3I003","Algorithmique","6","Safia KEDAD-SIDHOUM/Fanny PASCUAL","1","60","40","","","100"
"3I004","Architecture logicielle et matérielle des ordinateurs","6","Franck Wajsbürt","1","60","40","","","100"
"3I005","Statistique et informatique","6","Pierre-Henri WUILLEMIN","2","60","40","","","100"
"3I006","Logique","3","Mathieu JAUME","1","60","40","","","100"
"3I008","Modèles de programmation et interopérabilité des langages","6","Emmanuel CHAILLOUX","2","60","40","","","100"
"3I009","Systèmes de gestion de bases de données","6","Stéphane GANCARSKI","1","60","40","","","100"
"3I010","Fondements des systèmes d'exploitation","6","Pierre SENS","2","60","40","","","100"
"3I012","Introduction à la modélisation des systèmes logiciels avec UML","6","Tewfik ZIADI","2","60","40","","","100"
"3I013","Projet (recherche)","6","Fabrice KORDON","2","","100","","","100"
"3I014","Réseaux","6","Kim-Loan THAI","1","60","40","","","100"
"3I015","Principes et pratiques de l'administration des systèmes","6","Christophe GONZALES","1","60","40","","","100"
"3I016","Structures des architectures clients-serveurs","6","Emmanuel SAINT-JAMES","1","60","40","","","100"
"3I017","Technologies du Web","6","Ludovic DENOYER","2","50","50","","","100"
"3I018","Compilation","6","Choun Tong LIEU","2","60","40","","","100"
"3I019","Introduction à la bioinformatique","6","Hugues RICHARD","2","60","40","","","100"
"3I020","Principes des programmes déclaratifs","6","Frédéric PESCHANSKI","2","50","50","","","100"
"3I021","Architecture des processeurs","6","Pirouz BAZARGAN SABET","2","60","40","","","100"
"3I022","Introduction au traitement des images numériques","6","Dominique BEREZIAT","2","60","40","","","100"
"3I023","Ingénierie des réseaux","6","Prométhée SPATHIS","2","60","40","","","100"
"3I024","Introduction à la cryptologie","6","Valérie Ménissier-Morain","2","60","40","","","100"
"3I025","Méthodes et outils de l'IA et de la RO","6","Patrice PERNY/Nicolas MAUDET","3","60","40","","","100"
"3I026","Intelligence Artificielle et Data Science","6","Christophe MARSALA","2","50","50","","","100"
"3I027","Introduction à l'économie industrielle","6","Jean-Daniel KANT","2","60","40","","","100"
"3I028","Algorithmique numérique (spécifique PIMA)","3","Stef GRAILLAT","1","60","25","15","","100"